MSA,Pop_Total,Median_Rent,Median_Income,Median_Home_Value,wiki_url,wiki_thumb_url,Name
17980,326159,999,55720,172200,"https://en.wikipedia.org/wiki/Columbus_metropolitan_area,_Georgia","https://en.wikipedia.org/wiki/Columbus_metropolitan_area,_Georgia#/media/File:Downtown_Columbus%2C_Georgia_skyline.jpg","Columbus, GA-AL"
18020,82371,1063,76912,197500,"https://en.wikipedia.org/wiki/Columbus,_Indiana","https://en.wikipedia.org/wiki/Columbus,_Indiana#/media/File:Stewart-bridge-1933328.jpg","Columbus, IN"
18060,58547,903,53687,155300,"https://en.wikipedia.org/wiki/Columbus,_Mississippi","https://en.wikipedia.org/wiki/Columbus,_Mississippi#/media/File:Columbus_MS.jpg","Columbus, MS"
18100,34219,872,69943,195800,"https://en.wikipedia.org/wiki/Columbus,_Nebraska","https://en.wikipedia.org/wiki/Columbus,_Nebraska#/media/File:Columbus_Loup_River_Bridge_from_NW_1.JPG","Columbus, NE"
18140,2137223,1146,76541,251600,"https://en.wikipedia.org/wiki/Columbus,_Ohio","https://en.wikipedia.org/wiki/Columbus,_Ohio#/media/File:Columbus_from_Main_St._Bridge-crop.jpg","Columbus, OH"
18180,153918,1199,88806,297600,"https://en.wikipedia.org/wiki/Concord,_New_Hampshire","https://en.wikipedia.org/wiki/Concord,_New_Hampshire#/media/File:New_Hampshire_State_House_6.JPG","Concord, NH"
18220,23391,763,52219,99100,"https://en.wikipedia.org/wiki/Connersville,_Indiana","https://en.wikipedia.org/wiki/Connersville,_Indiana#/media/File:Central_Avenue%2C_Connersville%2C_IN_%2848483882377%29.jpg","Connersville, IN"
18260,114463,834,52638,195600,"https://en.wikipedia.org/wiki/Cookeville,_Tennessee","https://en.wikipedia.org/wiki/Cookeville,_Tennessee#/media/File:Cookeville-tennessee-at-sunset-tn1.jpg","Cookeville, TN"
18300,64908,952,57563,276300,"https://en.wikipedia.org/wiki/Coos_Bay,_Oregon","https://en.wikipedia.org/wiki/Coos_Bay,_Oregon#/media/File:Tioga_Building.jpg","Coos Bay, OR"
18380,20255,735,47463,106900,"https://en.wikipedia.org/wiki/Cordele,_Georgia","https://en.wikipedia.org/wiki/Cordele,_Georgia#/media/File:Cordele_City_Hall.JPG","Cordele, GA"
